Event ID,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt
1,3,Bombing/Explosion,,,,
2,3,Bombing/Explosion,,,,
3,3,Bombing/Explosion,,,,
4,6,Hostage Taking (Kidnapping),,,,
5,2,Armed Assault,,,,
6,3,Bombing/Explosion,,,,
7,3,Bombing/Explosion,,,,
8,3,Bombing/Explosion,,,,
9,2,Armed Assault,,,,
10,2,Armed Assault,,,,
11,3,Bombing/Explosion,2,Armed Assault,7,Facility/Infrastructure Attack
12,8,Unarmed Assault,,,,
13,3,Bombing/Explosion,,,,
14,2,Armed Assault,,,,
15,3,Bombing/Explosion,,,,
16,2,Armed Assault,,,,
17,3,Bombing/Explosion,,,,
18,3,Bombing/Explosion,,,,
19,2,Armed Assault,,,,
20,2,Armed Assault,,,,
21,7,Facility/Infrastructure Attack,,,,
22,6,Hostage Taking (Kidnapping),,,,
23,2,Armed Assault,,,,
24,3,Bombing/Explosion,,,,
25,3,Bombing/Explosion,,,,
26,2,Armed Assault,,,,
27,6,Hostage Taking (Kidnapping),2,Armed Assault,,
28,1,Assassination,,,,
29,3,Bombing/Explosion,,,,
30,3,Bombing/Explosion,,,,
31,6,Hostage Taking (Kidnapping),,,,
32,2,Armed Assault,,,,
33,1,Assassination,,,,
34,3,Bombing/Explosion,,,,
35,3,Bombing/Explosion,,,,
36,3,Bombing/Explosion,,,,
37,3,Bombing/Explosion,,,,
38,3,Bombing/Explosion,2,Armed Assault,,
39,3,Bombing/Explosion,,,,
40,6,Hostage Taking (Kidnapping),,,,
41,2,Armed Assault,,,,
42,3,Bombing/Explosion,,,,
43,6,Hostage Taking (Kidnapping),,,,
44,3,Bombing/Explosion,,,,
45,3,Bombing/Explosion,,,,
46,3,Bombing/Explosion,,,,
47,3,Bombing/Explosion,,,,
48,9,Unknown,,,,
49,9,Unknown,,,,
50,2,Armed Assault,,,,
51,3,Bombing/Explosion,,,,
52,3,Bombing/Explosion,,,,
53,3,Bombing/Explosion,,,,
54,3,Bombing/Explosion,,,,
55,7,Facility/Infrastructure Attack,,,,
56,7,Facility/Infrastructure Attack,,,,
57,3,Bombing/Explosion,,,,
58,3,Bombing/Explosion,,,,
59,3,Bombing/Explosion,,,,
60,3,Bombing/Explosion,,,,
61,3,Bombing/Explosion,,,,
62,3,Bombing/Explosion,,,,
63,3,Bombing/Explosion,,,,
64,2,Armed Assault,,,,
65,3,Bombing/Explosion,,,,
66,3,Bombing/Explosion,,,,
67,3,Bombing/Explosion,,,,
68,2,Armed Assault,,,,
69,3,Bombing/Explosion,,,,
70,3,Bombing/Explosion,,,,
71,2,Armed Assault,,,,
72,2,Armed Assault,,,,
73,3,Bombing/Explosion,,,,
74,3,Bombing/Explosion,,,,
75,3,Bombing/Explosion,,,,
76,6,Hostage Taking (Kidnapping),,,,
77,2,Armed Assault,,,,
78,2,Armed Assault,,,,
79,2,Armed Assault,,,,
80,2,Armed Assault,,,,
81,3,Bombing/Explosion,,,,
82,7,Facility/Infrastructure Attack,,,,
83,2,Armed Assault,,,,
84,2,Armed Assault,,,,
85,3,Bombing/Explosion,,,,
86,9,Unknown,,,,
87,3,Bombing/Explosion,,,,
88,3,Bombing/Explosion,,,,
89,3,Bombing/Explosion,,,,
90,3,Bombing/Explosion,,,,
91,3,Bombing/Explosion,,,,
92,6,Hostage Taking (Kidnapping),,,,
93,1,Assassination,,,,
94,2,Armed Assault,,,,
95,2,Armed Assault,,,,
96,3,Bombing/Explosion,,,,
97,3,Bombing/Explosion,,,,
98,3,Bombing/Explosion,,,,
