Event ID,claimmode,claimmode_txt
1,,
2,,
3,8,Personal claim
4,,
5,,
6,8,Personal claim
7,,
8,,
9,,
10,,
11,,
12,8,Personal claim
13,,
14,,
15,,
16,,
17,10,Unknown
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,5,Note left at scene
30,5,Note left at scene
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,4,E-mail
39,8,Personal claim
40,,
41,,
42,,
43,,
44,8,Personal claim
45,,
46,,
47,,
48,,
49,4,E-mail
50,,
51,,
52,,
53,,
54,,
55,,
56,8,Personal claim
57,,
58,,
59,,
60,4,E-mail
61,,
62,,
63,,
64,,
65,4,E-mail
66,,
67,,
68,,
69,,
70,4,E-mail
71,8,Personal claim
72,8,Personal claim
73,8,Personal claim
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,10,Unknown
87,,
88,8,Personal claim
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,7,"Posted to website, blog, etc."
100,7,"Posted to website, blog, etc."
101,,
102,,
103,10,Unknown
104,10,Unknown
105,8,Personal claim
106,,
107,8,Personal claim
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,4,E-mail
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,10,Unknown
127,8,Personal claim
128,,
129,8,Personal claim
130,,
131,,
132,,
133,,
134,8,Personal claim
135,2,Call (post-incident)
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,8,Personal claim
144,8,Personal claim
145,,
146,,
147,,
148,10,Unknown
149,8,Personal claim
150,,
151,,
152,1,Letter
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,7,"Posted to website, blog, etc."
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,8,Personal claim
194,8,Personal claim
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,8,Personal claim
208,,
209,8,Personal claim
210,8,Personal claim
211,7,"Posted to website, blog, etc."
212,7,"Posted to website, blog, etc."
213,4,E-mail
214,10,Unknown
215,10,Unknown
216,,
217,,
218,,
219,8,Personal claim
220,10,Unknown
221,,
222,10,Unknown
223,8,Personal claim
224,5,Note left at scene
225,,
226,,
227,,
228,,
229,,
230,5,Note left at scene
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,5,Note left at scene
241,,
242,,
243,,
244,,
245,6,Video
246,,
247,5,Note left at scene
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,8,Personal claim
263,8,Personal claim
264,,
265,,
266,,
267,,
268,,
269,7,"Posted to website, blog, etc."
270,10,Unknown
271,7,"Posted to website, blog, etc."
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,8,Personal claim
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,8,Personal claim
295,8,Personal claim
296,8,Personal claim
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,7,"Posted to website, blog, etc."
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,8,Personal claim
327,,
328,,
329,,
330,,
331,,
332,8,Personal claim
