Event ID,corp1,target1
1,Not Applicable,Civilians
2,Not Applicable,Civilians
3,Iraqi Police Service (IPS),Patrol
4,Indian Police Service (IPS),Vehicle of Superintendent: Salwinder Singh
5,Not Applicable,Civilian: Ekagar Singh
6,Le Jardin,Restaurant
7,Turkish Armed Forces (TSK),Soldiers
8,Turkish National Police (EGM),Officers
9,Somali Police Force (SPF),Police Station
10,Unknown,Employee
11,General Service Unit (GSU),Convoy
12,French Armed Forces,Guards
13,Somali Armed Forces (SAF),Base
14,Armed Forces of the Philippines (AFP); Citizens Armed Forces Geographical Unit (CAFGU),Soldiers
15,Televisi Republik Indonesia (TVRI),Car of Employee
16,Military of Yemen,Checkpoint
17,Iraqi Army,Headquarters
18,Not Applicable,Civilians
19,Burundi National Police,Officers
20,Burundi National Police,Officers
21,Awami League,Office
22,Wolesi Jirga,Son of Former Member: Ainuddin
23,Unknown,"Teachers: Muhammad Adil, Zahir Shah, Sahib Gul"
24,Bank for Agriculture and Agricultural Cooperatives,Automated Teller Machine (ATM)
25,Abha City,City
26,Simta Bar,Bar
27,Not Applicable,Civilians
28,Galmudug Ministry of Transportation,Deputy Minister: Abdisamad Yusuf Ilmi
29,SP Singla Company,Construction Site Generator Room
30,SP Singla Company,Under-Construction Bridge
31,Not Applicable,Trader: Nanhelal Shah
32,Pakistani Police,Vehicle of Deputy Superintendent of Police (DSP)
33,Government of Pamaypayan,Village Chief: Feliciano Sano
34,Iraqi Army,Patrol
35,Not Applicable,Civilians
36,Not Applicable,Civilians
37,Al Ishraq,Director of Satellite Television Station
38,Indian Air Force,Airbase
39,Village Restaurant,Restaurant
40,Not Applicable,Truck of Traders
41,Philippine Army (PA),Soldier: Samsudin Mokammad
42,Unknown,Unknown
43,Not Applicable,Al Jabbur Tribal Members
44,Iraqi Army,1st Rapid Intervention Division Headquarters
45,Iraqi Armed Forces,Personnel
46,Unknown,Unknown
47,Taizz City,City
48,Libyan Army,Soldiers
49,Sudanese Army,Soldiers
50,Afghan National Army (ANA),Posts
51,Unknown,Unknown
52,Unknown,Unknown
53,United States Department of State,Embassy
54,Unknown,Bus Stop
55,Not Applicable,House
56,United States Fish and Wildlife Service,Malheur National Wildlife Refuge
57,Unknown,Bus
58,Unknown,Restaurant
59,Unknown,Market
60,Iraqi Police Service (IPS),Camp Speicher
61,Ammar Bin Yasir Mosque,Mosque
62,Al Fath Mosque,Mosque
63,Unknown,Mosque
64,Indian Ministry of External Affairs,Consulate
65,Pakistan Army,Vehicle
66,Unknown,Unknown
67,Gomazai Area,Area
68,Not Applicable,Trader: Mahdi Muse
69,Iraqi Army,Forces
70,Hadithah District,District
71,Munshaat al-Muthanna Area,Area
72,Unknown,Ath Tharthar Water Dam
73,Not Applicable,Civilians
74,Not Applicable,Civilians
75,Iraqi Ministry of Interior,Car of Captain
76,Not Applicable,Women
77,Tal Mas'ud Area,Area
78,Israel Defense Forces (IDF),Soldier
79,Israel Defense Forces (IDF),Soldier
80,Not Applicable,Civilian
81,Turkish Gendarmerie,Soldiers
82,Unknown,Construction Equipment
83,Okpaya Village,Village
84,Udeni Ruwa District,District
85,Unknown,Unknown
86,Government of Aurangabad,"Relatives of Village Head Ramji Ram: Ramvilas Ram, Ramdeep Ram"
87,Not Applicable,Civilians
88,Iraqi Volunteer Forces,Vehicles of Members
89,Saudi Arabian Ministry of Foreign Affairs,Embassy
90,Not Applicable,Apartment
91,Unknown,Power Pylon
92,Unknown,Jeepney
93,Military of Yemen,Officer
94,Not Applicable,Trader: Sol Sa'ad Hussein
95,Not Applicable,Civilians
96,Not Applicable,Civilians
