Event ID,country,country_txt
1,95,Iraq
2,95,Iraq
3,95,Iraq
4,92,India
5,92,India
6,4,Afghanistan
7,209,Turkey
8,209,Turkey
9,182,Somalia
10,182,Somalia
11,104,Kenya
12,69,France
13,182,Somalia
14,160,Philippines
15,93,Indonesia
16,228,Yemen
17,95,Iraq
18,95,Iraq
19,34,Burundi
20,34,Burundi
21,19,Bangladesh
22,4,Afghanistan
23,153,Pakistan
24,205,Thailand
25,173,Saudi Arabia
26,97,Israel
27,195,Sudan
28,182,Somalia
29,92,India
30,92,India
31,92,India
32,153,Pakistan
33,160,Philippines
34,95,Iraq
35,95,Iraq
36,95,Iraq
37,95,Iraq
38,92,India
39,182,Somalia
40,92,India
41,160,Philippines
42,95,Iraq
43,95,Iraq
44,95,Iraq
45,95,Iraq
46,92,India
47,228,Yemen
48,113,Libya
49,195,Sudan
50,4,Afghanistan
51,4,Afghanistan
52,4,Afghanistan
53,95,Iraq
54,153,Pakistan
55,603,United Kingdom
56,217,United States
57,95,Iraq
58,95,Iraq
59,95,Iraq
60,95,Iraq
61,95,Iraq
62,95,Iraq
63,95,Iraq
64,4,Afghanistan
65,153,Pakistan
66,153,Pakistan
67,153,Pakistan
68,182,Somalia
69,95,Iraq
70,95,Iraq
71,95,Iraq
72,95,Iraq
73,95,Iraq
74,95,Iraq
75,95,Iraq
76,95,Iraq
77,95,Iraq
78,155,West Bank and Gaza Strip
79,155,West Bank and Gaza Strip
80,155,West Bank and Gaza Strip
81,209,Turkey
82,92,India
83,147,Nigeria
84,147,Nigeria
85,153,Pakistan
86,92,India
87,186,Sri Lanka
88,95,Iraq
89,95,Iraq
90,209,Turkey
91,4,Afghanistan
92,160,Philippines
93,228,Yemen
94,182,Somalia
95,209,Turkey
96,95,Iraq
97,95,Iraq
98,95,Iraq
99,4,Afghanistan
100,4,Afghanistan
101,153,Pakistan
102,153,Pakistan
103,113,Libya
104,113,Libya
105,4,Afghanistan
106,4,Afghanistan
107,182,Somalia
108,182,Somalia
109,4,Afghanistan
110,60,Egypt
111,60,Egypt
112,60,Egypt
113,34,Burundi
114,34,Burundi
115,153,Pakistan
116,228,Yemen
117,97,Israel
118,97,Israel
119,209,Turkey
120,92,India
121,147,Nigeria
122,147,Nigeria
123,182,Somalia
124,173,Saudi Arabia
125,95,Iraq
126,92,India
127,95,Iraq
128,95,Iraq
129,60,Egypt
130,75,Germany
131,213,Uganda
132,228,Yemen
133,153,Pakistan
134,228,Yemen
135,141,Nepal
136,113,Libya
137,4,Afghanistan
138,4,Afghanistan
139,4,Afghanistan
140,113,Libya
141,95,Iraq
142,95,Iraq
143,95,Iraq
144,95,Iraq
145,95,Iraq
146,95,Iraq
147,60,Egypt
148,228,Yemen
149,95,Iraq
150,95,Iraq
151,155,West Bank and Gaza Strip
152,92,India
153,92,India
154,4,Afghanistan
155,147,Nigeria
156,4,Afghanistan
157,173,Saudi Arabia
158,92,India
159,92,India
160,92,India
161,95,Iraq
162,95,Iraq
163,95,Iraq
164,95,Iraq
165,209,Turkey
166,92,India
167,92,India
168,137,Mozambique
169,200,Syria
170,160,Philippines
171,153,Pakistan
172,228,Yemen
173,209,Turkey
174,160,Philippines
175,141,Nepal
176,228,Yemen
177,153,Pakistan
178,37,Cameroon
179,200,Syria
180,205,Thailand
181,153,Pakistan
182,200,Syria
183,200,Syria
184,182,Somalia
185,228,Yemen
186,228,Yemen
187,228,Yemen
188,228,Yemen
189,228,Yemen
190,95,Iraq
191,228,Yemen
192,228,Yemen
193,4,Afghanistan
194,95,Iraq
195,92,India
196,160,Philippines
197,37,Cameroon
198,182,Somalia
199,4,Afghanistan
200,4,Afghanistan
201,173,Saudi Arabia
202,200,Syria
203,92,India
204,153,Pakistan
205,153,Pakistan
206,209,Turkey
207,4,Afghanistan
208,205,Thailand
