Event ID,iyear,imonth,iday,approxdate
1,2016,1,1,1-Jan-16
2,2016,1,1,
3,2016,1,1,1-Jan-16
4,2016,1,1,
5,2016,1,1,
6,2016,1,1,
7,2016,1,1,
8,2016,1,1,
9,2016,1,1,
10,2016,1,1,
11,2016,1,1,
12,2016,1,1,
13,2016,1,1,1-Jan-16
14,2016,1,1,
15,2016,1,1,
16,2016,1,1,
17,2016,1,1,
18,2016,1,1,1-Jan-16
19,2016,1,1,
20,2016,1,1,
21,2016,1,1,
22,2016,1,1,
23,2016,1,1,
24,2016,1,1,
25,2016,1,1,
26,2016,1,1,
27,2016,1,1,
28,2016,1,3,
29,2016,1,1,
30,2016,1,1,
31,2016,1,1,
32,2016,1,1,
33,2016,1,2,2-Jan-16
34,2016,1,2,
35,2016,1,2,2-Jan-16
36,2016,1,2,
37,2016,1,2,2-Jan-16
38,2016,1,2,
39,2016,1,2,
40,2016,1,2,
41,2016,1,2,
42,2016,1,2,2-Jan-16
43,2016,1,2,
44,2016,1,2,
45,2016,1,2,
46,2016,1,2,
47,2016,1,2,
48,2016,1,2,
49,2016,1,2,
50,2016,1,2,
51,2016,1,2,2-Jan-16
52,2016,1,2,2-Jan-16
53,2016,1,2,
54,2016,1,2,
55,2016,1,2,
56,2016,1,2,
57,2016,1,3,
58,2016,1,3,3-Jan-16
59,2016,1,3,
60,2016,1,3,
61,2016,1,3,
62,2016,1,3,
63,2016,1,3,
64,2016,1,3,
65,2016,1,3,
66,2016,1,3,
67,2016,1,3,
68,2016,1,3,
69,2016,1,3,3-Jan-16
70,2016,1,3,
71,2016,1,3,3-Jan-16
72,2016,1,3,3-Jan-16
73,2016,1,3,3-Jan-16
74,2016,1,3,3-Jan-16
75,2016,1,3,3-Jan-16
76,2016,1,3,3-Jan-16
77,2016,1,3,3-Jan-16
78,2016,1,3,
79,2016,1,3,
80,2016,1,3,
81,2016,1,3,
82,2016,1,3,
83,2016,1,3,
84,2016,1,3,
85,2016,1,3,3-Jan-16
86,2016,1,3,
87,2016,1,3,
88,2016,1,3,
89,2016,1,3,
90,2016,1,3,
91,2016,1,3,3-Jan-16
92,2016,1,3,
93,2016,1,3,
94,2016,1,3,
95,2016,1,3,
96,2016,1,4,4-Jan-16
97,2016,1,4,
98,2016,1,4,
99,2016,1,4,
100,2016,1,4,
101,2016,1,3,
102,2016,1,4,
103,2016,1,4,
104,2016,1,4,
105,2016,1,4,
106,2016,1,3,3-Jan-16
107,2016,1,4,
108,2016,1,4,
109,2016,1,4,
110,2016,1,4,
111,2016,1,4,
112,2016,1,4,
113,2016,1,4,
114,2016,1,4,
115,2016,1,4,
116,2016,1,4,4-Jan-16
117,2016,1,4,
118,2016,1,4,
119,2016,1,4,
120,2016,1,4,
121,2016,1,5,
122,2016,1,4,
123,2016,1,4,
124,2016,1,4,
125,2016,1,4,
126,2016,1,4,
127,2016,1,4,
128,2016,1,4,4-Jan-16
129,2016,1,4,
130,2016,1,4,
131,2016,1,4,
132,2016,1,4,
133,2016,1,4,
134,2016,1,4,
135,2016,1,4,
136,2016,1,4,
137,2016,1,5,
138,2016,1,24,24-Jan-16
139,2016,1,5,
140,2016,1,5,
141,2016,1,5,
142,2016,1,5,5-Jan-16
143,2016,1,5,5-Jan-16
144,2016,1,5,5-Jan-16
145,2016,1,5,
146,2016,1,5,
147,2016,1,5,
148,2016,1,5,
149,2016,1,5,5-Jan-16
150,2016,1,5,5-Jan-16
151,2016,1,5,
152,2016,1,5,
153,2016,1,5,
154,2016,1,5,
155,2016,1,5,
156,2016,1,5,
157,2016,1,5,
158,2016,1,5,
159,2016,1,5,
160,2016,1,5,
161,2016,1,5,
162,2016,1,5,
163,2016,1,5,
164,2016,1,5,
165,2016,1,5,
166,2016,1,5,
167,2016,1,5,
168,2016,1,5,
169,2016,1,5,
170,2016,1,5,
171,2016,1,5,
172,2016,1,2,
173,2016,1,5,
174,2016,1,5,
175,2016,1,5,
176,2016,1,5,
177,2016,1,5,
178,2016,1,4,
179,2016,1,6,
180,2016,1,6,
181,2016,1,7,
182,2016,1,6,
183,2016,1,6,
184,2016,1,6,
185,2016,1,6,6-Jan-16
186,2016,1,6,6-Jan-16
187,2016,1,6,6-Jan-16
188,2016,1,6,6-Jan-16
189,2016,1,6,
190,2016,1,6,
191,2016,1,6,6-Jan-16
192,2016,1,6,6-Jan-16
193,2016,1,6,
194,2016,1,6,
195,2016,1,6,
196,2016,1,6,
197,2016,1,4,
198,2016,1,6,6-Jan-16
199,2016,1,6,
200,2016,1,6,
201,2016,1,6,
202,2016,1,6,
203,2016,1,6,
204,2016,1,6,
205,2016,1,6,
206,2016,1,6,
207,2016,1,6,
208,2016,1,7,
209,2016,1,7,
210,2016,1,7,
211,2016,1,7,
212,2016,1,7,
213,2016,1,7,
214,2016,1,7,
215,2016,1,7,
216,2016,1,7,
217,2016,1,7,
