Event ID,gname,motive
1,Unknown,
2,Unknown,
3,Islamic State of Iraq and the Levant (ISIL),
4,Unknown,
5,Unknown,
6,Taliban,
7,Kurdistan Workers' Party (PKK),
8,Kurdistan Workers' Party (PKK),
9,Al-Shabaab,
10,Al-Shabaab,
11,Al-Shabaab,
12,Jihadi-inspired extremists,"An unaffiliated individual, identified as Raouf El Ayeb, claimed responsibility for the incident and stated that he targeted soldiers because ""troops killed people."" Sources also noted that ""jihadist propaganda material"" was found on El Ayeb's computer."
13,Al-Shabaab,
14,New People's Army (NPA),
15,Unknown,
16,Al-Qaida in the Arabian Peninsula (AQAP),
17,Islamic State of Iraq and the Levant (ISIL),
18,Unknown,
19,Unknown,
20,Unknown,
21,Unknown,"The specific motive is unknown; however, sources suspected that the attack was part of a larger trend of violence related to municipal elections, held on December 30, 2015."
22,Taliban,
23,Unknown,
24,Unknown,"The specific motive is unknown; however, sources suspected that the attack was carried out in order to disrupt New Year celebrations."
25,Unknown,
26,Unknown,
27,Janjaweed,
28,Unknown,
29,Communist Party of India - Maoist (CPI-Maoist),The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion.
30,Communist Party of India - Maoist (CPI-Maoist),The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion.
31,United Liberation Front of Assam (ULFA),
32,Unknown,
33,Unknown,
34,Unknown,
35,Unknown,
36,Unknown,
37,Unknown,
38,United Jihad Council,"The specific motive is unknown; however, sources noted that the attack followed Prime Minister Narendra Modi's visit to Pakistan in order to renew peace talks between Pakistan and India."
39,Al-Shabaab,
40,Achik Songna An'pachakgipa Kotok (ASAK),
41,Unknown,
42,Unknown,
43,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) accused the victims of working with security personnel."
44,Islamic State of Iraq and the Levant (ISIL),
45,Unknown,
46,Unknown,
47,Unknown,
48,Barqa Province of the Islamic State,
49,Sudan People's Liberation Movement - North,
50,Unknown,
51,Unknown,
52,Unknown,
53,Unknown,
54,Unknown,
55,Unknown,
56,Citizens for Constitutional Freedom,"Citizens for Constitutional Freedom claimed responsibility for the incident and demanded that federal grounds be returned to the ranchers of Harney County. The group also stated that the occupation was carried out in protest to the five year sentence of Dwight and Steven Hammond, two ranchers convicted of arson of federal land."
57,Unknown,
58,Unknown,
59,Unknown,
60,Islamic State of Iraq and the Levant (ISIL),
61,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources suspected that the attack, which targeted a Sunni mosque, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities."
62,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources suspected that the attack, which targeted a Sunni mosque, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities."
63,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources suspected that the attack, which targeted a Sunni mosque, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities."
64,Jaish-e-Mohammad (JeM),
65,Tehrik-i-Taliban Pakistan (TTP),
66,Unknown,
67,Unknown,
68,Al-Shabaab,"The specific motive is unknown; however, sources posited that Al-Shabaab targeted the traders for doing business with military personnel."
69,Islamic State of Iraq and the Levant (ISIL),
70,Islamic State of Iraq and the Levant (ISIL),
71,Islamic State of Iraq and the Levant (ISIL),
72,Islamic State of Iraq and the Levant (ISIL),
73,Islamic State of Iraq and the Levant (ISIL),
74,Unknown,
75,Unknown,
76,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) carried out the attack because the victims had refused to participate in sexual acts with ISIL members."
77,Islamic State of Iraq and the Levant (ISIL),
78,Palestinian Extremists,
79,Palestinian Extremists,
80,Palestinian Extremists,
81,Kurdistan Workers' Party (PKK),
82,Maoists,"The specific motive is unknown; however, sources noted that Maoists oppose development projects."
83,Fulani extremists,
84,Fulani extremists,
85,Unknown,
86,Communist Party of India - Maoist (CPI-Maoist),"The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion, specifically 20% of a government welfare grant."
87,Unknown,
88,Islamic State of Iraq and the Levant (ISIL),
89,Harakat al-Nujaba,"The specific motive is unknown; however, sources noted that the attack occurred following the execution of Ayatollah Sheikh Nimr al-Nimr and 46 others in Saudi Arabia."
90,Unknown,
91,Taliban,
92,Abu Sayyaf Group (ASG),
93,Al-Qaida in the Arabian Peninsula (AQAP),
94,Al-Shabaab,"The specific motive is unknown; however, sources posited that Al-Shabaab targeted Sol Sa'ad Hussein for doing business with military personnel."
95,Kurdistan Workers' Party (PKK),
96,Unknown,
97,Unknown,
98,Unknown,
99,Taliban,
100,Taliban,
101,Unknown,
102,Unknown,
103,Tripoli Province of the Islamic State,"The specific motive is unknown; however, sources posited that the Tripoli Province of the Islamic State aimed to control Libya's oil supply."
104,Tripoli Province of the Islamic State,"The specific motive is unknown; however, sources posited that the Tripoli Province of the Islamic State aimed to control Libya's oil supply."
105,Taliban,
106,Unknown,
107,Al-Shabaab,
108,Unknown,
109,Khorasan Chapter of the Islamic State,
110,Unknown,
111,Unknown,
112,Unknown,
113,Unknown,
114,Unknown,
115,Unknown,
116,Unknown,
117,Palestinian Extremists,
118,Hezbollah,"Hezbollah claimed responsibility for the incident and stated that the attack was carried out in retaliation for the killing of Samir Kantar, a commander of an armed group, who was killed in an airstrike."
119,Kurdistan Workers' Party (PKK),
120,Maoists,
121,Boko Haram,
122,Boko Haram,
123,Unknown,
124,Unknown,
125,Unknown,
126,Garo National Liberation Army,The Garo National Liberation Army claimed responsibility for the incident and demanded a ransom in exchange for the victim.
127,Islamic State of Iraq and the Levant (ISIL),
128,Unknown,
129,Sinai Province of the Islamic State,
130,Unknown,"The specific motive is unknown; however, sources suspected that the attack was part of a larger trend of violence against refugees in Europe."
131,Al-Shabaab,
132,Adan-Abyan Province of the Islamic State,
133,Unknown,
134,Al-Qaida in the Arabian Peninsula (AQAP),Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident and stated that the victim was targeted for committing adultery.
135,Akhil Terai Mukti Morcha (ATMM),
