Event ID,nperps,nperpcap
1,-99,0
2,-99,0
3,-99,0
4,5,0
5,5,0
6,3,1
7,-99,0
8,-99,0
9,8,0
10,-99,0
11,-99,0
12,1,1
13,-99,0
14,10,0
15,-99,0
16,-99,0
17,-99,0
18,-99,0
19,-99,0
20,-99,0
21,-99,0
22,-99,0
23,-99,0
24,2,0
25,-99,0
26,1,0
27,-99,0
28,-99,0
29,30,-99
30,30,-99
31,-99,0
32,-99,0
33,2,0
34,-99,0
35,-99,0
36,-99,0
37,-99,0
38,-99,-99
39,1,0
40,3,0
41,2,0
42,-99,0
43,-99,0
44,7,0
45,-99,0
46,-99,0
47,-99,0
48,-99,0
49,-99,0
50,6,3
51,4,0
52,4,0
53,-99,0
54,-99,0
55,-99,0
56,12,11
57,-99,0
58,-99,0
59,-99,0
60,5,0
61,-99,0
62,-99,0
63,-99,0
64,6,0
65,-99,0
66,-99,0
67,-99,0
68,-99,0
69,9,0
70,13,0
71,-99,0
72,-99,0
73,-99,0
74,-99,0
75,-99,0
76,-99,0
77,3,0
78,1,0
79,1,0
80,1,1
81,-99,0
82,15,0
83,-99,0
84,-99,0
85,-99,0
86,-99,0
87,-99,0
88,-99,0
89,-99,0
90,-99,0
91,-99,0
92,-99,0
93,-99,0
94,-99,0
95,-99,0
96,-99,0
97,-99,0
98,-99,0
99,1,0
100,1,0
101,-99,0
102,4,0
103,-99,0
104,-99,0
105,1,1
106,-99,0
107,-99,0
108,-99,0
109,15,0
110,-99,0
111,-99,0
112,-99,0
113,-99,0
114,-99,0
115,-99,0
116,-99,0
117,1,1
118,-99,0
119,-99,0
120,-99,0
121,-99,0
122,-99,0
123,-99,0
124,-99,0
125,-99,0
126,-99,0
127,200,0
128,-99,0
129,-99,0
130,-99,0
131,-99,0
132,-99,0
133,-99,0
134,-99,0
135,2,0
136,-99,0
137,-99,0
138,-99,0
139,-99,0
140,-99,0
141,-99,0
142,-99,0
143,-99,0
144,-99,0
145,-99,0
146,-99,0
147,2,0
148,-99,0
149,-99,0
150,-99,0
151,1,0
152,-99,0
153,-99,0
154,-99,0
155,-99,0
156,-99,0
157,4,0
158,-99,0
159,-99,0
160,-99,0
161,2,0
162,-99,0
163,-99,0
164,-99,0
165,-99,0
166,-99,0
167,-99,0
168,-99,0
169,2,0
170,-99,0
171,-99,0
172,-99,0
173,-99,0
174,-99,0
175,-99,0
176,-99,0
177,-99,0
178,-99,0
179,-99,0
180,-99,0
181,-99,0
182,-99,0
183,-99,0
184,-99,0
185,-99,0
186,-99,0
187,-99,0
188,-99,0
189,-99,0
190,-99,0
191,-99,0
192,-99,0
193,-99,0
194,-99,0
195,15,0
196,-99,0
197,-99,0
198,2,0
199,-99,0
200,-99,0
201,-99,0
202,1,0
203,-99,0
204,5,0
205,-99,0
206,-99,0
207,-99,0
208,-99,0
209,1,0
210,-99,0
211,15,0
212,-99,0
213,1,0
214,-99,0
215,-99,0
216,-99,0
217,-99,0
218,-99,0
219,-99,0
220,-99,0
221,-99,0
222,-99,0
223,1,1
224,1,0
225,-99,0
226,-99,0
227,-99,0
228,-99,0
229,-99,0
230,30,0
231,3,0
232,1,0
233,-99,0
234,-99,0
235,-99,0
236,-99,0
237,-99,0
238,-99,0
239,18,0
240,25,0
241,-99,0
242,-99,0
243,-99,0
244,-99,1
245,-99,0
246,-99,0
247,2,1
248,-99,0
249,-99,0
250,-99,0
251,-99,0
252,-99,0
253,-99,0
254,-99,0
255,-99,0
256,-99,0
257,-99,0
258,-99,0
259,1,1
260,-99,0
261,-99,0
262,-99,0
263,-99,0
264,-99,0
265,1,0
266,1,0
267,-99,0
268,-99,0
269,-99,0
270,-99,0
271,-99,0
272,-99,0
273,-99,0
274,-99,0
275,-99,0
276,-99,0
277,-99,0
278,-99,0
279,-99,0
280,-99,0
281,-99,0
282,17,0
283,-99,0
284,2,0
285,-99,0
286,-99,0
287,-99,-99
288,-99,0
289,-99,0
290,-99,0
291,-99,0
292,1,0
293,-99,0
294,-99,0
295,-99,0
296,2,0
297,-99,0
298,-99,0
299,-99,0
300,-99,0
301,-99,0
302,-99,0
303,-99,0
304,-99,0
305,-99,0
306,-99,0
307,-99,0
308,-99,0
309,-99,0
310,-99,0
311,-99,0
312,-99,0
313,-99,0
314,-99,0
315,-99,0
316,-99,0
317,1,0
318,-99,0
319,3,0
320,1,0
321,15,0
322,-99,0
323,-99,0
324,-99,0
325,2,2
326,-99,0
327,-99,0
328,-99,0
329,-99,0
330,-99,0
331,-99,0
332,-99,0
333,-99,0
334,-99,0
335,-99,0
336,-99,0
337,2,0
338,-99,0
339,1,1
340,1,1
341,-99,0
342,1,1
343,-99,0
344,2,2
345,4,0
346,-99,0
347,1,0
348,1,0
349,-99,0
350,-99,0
351,-99,0
352,-99,0
353,-99,0
354,-99,0
355,-99,0
356,-99,0
357,-99,0
358,-99,0
359,-99,0
360,-99,0
361,-99,0
362,-99,0
363,-99,0
364,-99,0
365,-99,0
366,-99,0
367,-99,0
368,-99,0
369,-99,0
370,-99,0
371,-99,0
372,-99,0
373,-99,0
374,-99,0
375,-99,0
376,-99,0
377,-99,0
378,-99,0
379,-99,0
380,-99,0
381,-99,0
382,-99,0
383,-99,0
384,-99,0
385,-99,0
386,-99,0
387,-99,0
388,-99,0
389,-99,0
390,-99,0
391,-99,0
392,-99,0
393,-99,0
394,-99,0
395,-99,0
396,-99,0
397,-99,0
398,-99,0
399,-99,0
400,-99,0
401,-99,0
402,1,0
403,1,0
404,-99,0
405,-99,0
406,-99,0
407,1,0
