Event ID,propcomment
1,It is unknown if any property was damaged in this attack.
2,It is unknown if any property was damaged in this attack.
3,It is unknown if any property was damaged in this attack.
4,
5,A vehicle was stolen in this attack.
6,A restaurant and an unknown number of houses were damaged in this attack.
7,
8,
9,It is unknown if any property was damaged in this attack.
10,
11,An unknown number of vehicles were damaged in this attack.
12,
13,It is unknown if any property was damaged in this attack.
14,
15,A vehicle was damaged in this attack.
16,
17,It is unknown if any property was damaged in this attack.
18,It is unknown if any property was damaged in this attack.
19,
20,
21,An office was damaged in this attack.
22,
23,
24,An ATM was damaged in this attack.
25,
26,It is unknown if any property was damaged in this attack.
27,Unspecified property was stolen in this attack.
28,It is unknown if any property was damaged in this attack.
29,A generator was damaged in this attack.
30,
31,
32,A vehicle was damaged in this attack.
33,
34,It is unknown if any property was damaged in this attack.
35,It is unknown if any property was damaged in this attack.
36,It is unknown if any property was damaged in this attack.
37,It is unknown if any property was damaged in this attack.
38,Unspecified property was damaged in this attack.
39,A restaurant was damaged in this attack.
40,A truck was damaged in this attack.
41,
42,
43,
44,
45,A house was damaged in this attack.
46,
47,It is unknown if any property was damaged in this attack.
48,
49,
50,
51,
52,
53,It is unknown if any property was damaged in this attack.
54,Two vehicles were damaged in this attack.
55,A house was damaged in this attack.
56,
57,A bus was damaged in this attack.
58,It is unknown if any property was damaged in this attack.
59,It is unknown if any property was damaged in this attack.
60,It is unknown if any property was damaged in this attack.
61,A mosque was damaged in this attack.
62,A mosque was damaged in this attack.
63,A mosque was damaged in this attack.
64,It is unknown if any property was damaged in this attack.
65,A vehicle was damaged in this attack.
66,
67,An orchard sustained damage in this attack.
68,"Unspecified property was stolen in this attack. In addition, unspecified property was damaged in this attack."
69,
70,
71,
72,
73,It is unknown if any property was damaged in this attack.
74,It is unknown if any property was damaged in this attack.
75,A vehicle was damaged in this attack.
76,
77,
78,
79,
80,
81,
82,Seven pieces of construction equipment were damaged in this attack.
83,Unspecified property was damaged in this attack.
84,
85,
86,
87,Two vehicles were damaged in this attack.
88,It is unknown if any property was damaged in this attack.
89,The Saudi Arabian embassy was damaged in this attack.
90,An apartment building was damaged in this attack.
91,A power pylon was damaged in this attack.
92,A jeepney was stolen in this attack.
93,
94,
95,
96,It is unknown if any property was damaged in this attack.
97,It is unknown if any property was damaged in this attack.
98,It is unknown if any property was damaged in this attack.
99,
100,An unknown number of houses and shops were damaged in this attack.
101,A vehicle was damaged in this attack.
102,
103,Four oil storage tanks were damaged in this attack.
104,An oil storage tank was damaged in this attack.
105,
106,It is unknown if any property was damaged in this attack.
107,
108,
109,
110,
111,
112,
113,It is unknown if any property was damaged in this attack.
114,It is unknown if any property was damaged in this attack.
115,
116,
117,
118,Two armored vehicles were damaged in this attack.
119,
120,
121,
122,Unspecified property was damaged in this attack. An unknown number of livestock and food were stolen in this attack.
123,It is unknown if any property was damaged in this attack.
124,
125,It is unknown if any property was damaged in this attack.
126,
127,
128,
129,Two vehicles and an unknown number of houses were damaged in this attack.
130,A window was damaged in this attack.
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,Oil pipework and an oil storage tank were damaged in this attack.
141,A vehicle was damaged in this attack.
142,It is unknown if any property was damaged in this attack.
143,
144,It is unknown if any property was damaged in this attack.
145,It is unknown if any property was damaged in this attack.
146,It is unknown if any property was damaged in this attack.
147,
148,A vehicle was damaged in this attack.
149,
150,A hospital was damaged in this attack.
151,
152,A house was damaged in this attack.
153,
154,It is unknown if any property was damaged in this attack.
155,An unknown number of houses were damaged in this attack.
156,It is unknown if any property was damaged in this attack.
157,A bus was damaged in the attack.
158,
159,
160,
161,An unknown number of military vehicles and a military base were damaged in this attack.
162,
163,
164,
165,
166,
167,
168,
169,A vehicle was damaged in this attack.
170,
171,
172,
173,
174,A multicab was damaged in this attack.
175,An office building was damaged in this attack.
176,It is unknown if any property was damaged in this attack.
177,
178,
179,It is unknown if any property was damaged in this attack.
180,
181,
182,It is unknown if any property was damaged in this attack.
183,It is unknown if any property was damaged in this attack.
184,
185,
186,
187,
188,
189,
190,It is unknown if any property was damaged in this attack.
191,
192,It is unknown if any property was damaged in this attack.
193,A police vehicle was damaged in this attack.
194,
195,
196,
197,
198,
199,A military vehicle was damaged in this attack.
200,
201,A vehicle and mobile phone were stolen in this attack.
202,
203,
204,
205,Two vehicles were stolen in this attack.
206,
207,
208,A defense booth was damaged in this attack.
209,A police training center building was damaged in this attack.
210,A school was damaged in this attack.
211,"A hotel was damaged in this attack,"
212,A gas pipeline was damaged in this attack.
213,A vehicle was damaged in this attack.
214,It is unknown if any property was damaged in this attack.
215,It is unknown if any property was damaged in this attack.
216,"One machine gun, four rifles, and an unspecified number of rounds of ammunition were stolen in this attack."
217,It is unknown if any property was damaged in this attack.
218,It is unknown if any property was damaged in this attack.
219,
220,An unknown number of police weapons were stolen in this attack.
221,
222,It is unknown if any property was damaged in this attack.
223,A police vehicle was damaged in this attack.
224,
225,
226,It is unknown if any property was damaged in this attack.
227,It is unknown if any property was damaged in this attack.
228,It is unknown if any property was damaged in this attack.
229,
230,A mini-truck was damaged in this attack. An unknown amount of gold jewelry and $1493.76 was stolen in this attack.
231,
232,
233,
234,
235,
236,A house was damaged in this attack.
237,
238,
239,
240,Unspecified construction equipment was damaged in this attack.
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,It is unknown if any property was damaged in this attack.
254,
255,A motorbike was damaged in this attack.
256,A vehicle was damaged in this attack.
257,A vehicle was damaged in this attack.
258,A vehicle was damaged in this attack.
259,
260,A power plant was damaged in this attack.
261,Four vehicles were damaged in this attack.
262,It is unknown if any property was damaged in this attack.
263,
264,
265,It is unknown if any property was damaged in this attack.
266,It is unknown if any property was damaged in this attack.
267,
268,
269,A wine store was damaged in this attack.
270,
271,
272,It is unknown if any property was damaged in this attack.
273,A vehicle was damaged in this attack.
274,A tanker truck was damaged in this attack.
275,A vehicle was damaged in this attack.
276,A Red Crescent camp was damaged in this attack.
277,A vehicle was damaged in this attack.
278,
279,A vehicle was damaged in this attack.
280,It is unknown if any property was damaged in this attack.
281,
282,
283,
284,
285,
286,A vehicle was damaged in this attack.
287,A tree was damaged in this attack.
288,
289,
290,
291,
292,
293,
294,A vehicle was damaged in this attack.
295,A vehicle was damaged in this attack.
296,
297,
298,
299,A wine shop was damaged in this attack.
300,
301,It is unknown if any property was damaged in this attack.
302,It is unknown if any property was damaged in this attack.
303,It is unknown if any property was damaged in this attack.
304,It is unknown if any property was damaged in this attack.
305,A vehicle was damaged in this attack.
306,
307,
308,
309,A vehicle was damaged in this attack.
310,It is unknown if any property was damaged in this attack.
311,Ten houses were damaged in this attack.
312,A motorcycle was damaged in this attack.
313,
314,
315,An office was damaged in this attack.
316,
317,
318,A house was damaged in this attack.
319,
320,
321,A building was damaged in this attack.
322,
323,A church was damaged in this attack.
324,A church was damaged in this attack.
325,
326,
327,It is unknown if any property was damaged in this attack.
328,
329,It is unknown if any property was damaged in this attack.
330,A school was damaged in this attack.
331,
332,
333,It is unknown if any property was damaged in this attack.
334,An unknown number of houses were damaged in this attack.
335,A helicopter was damaged in this attack.
336,
337,
338,
339,
340,
341,It is unknown if any property was damaged in this attack.
342,
343,
344,
345,A mall was damaged in this attack.
346,A casino was damaged in this attack.
