Event ID,region,region_txt,provstate
1,10,Middle East & North Africa,Baghdad
2,10,Middle East & North Africa,Baghdad
3,10,Middle East & North Africa,Baghdad
4,6,South Asia,Punjab
5,6,South Asia,Punjab
6,6,South Asia,Kabul
7,10,Middle East & North Africa,Sirnak
8,10,Middle East & North Africa,Diyarbakir
9,11,Sub-Saharan Africa,Banaadir
10,11,Sub-Saharan Africa,Banaadir
11,11,Sub-Saharan Africa,Lamu
12,8,Western Europe,Auvergne-Rhone-Alpes
13,11,Sub-Saharan Africa,Banaadir
14,5,Southeast Asia,Camarines Sur
15,5,Southeast Asia,West Java
16,10,Middle East & North Africa,Abyan
17,10,Middle East & North Africa,Al Anbar
18,10,Middle East & North Africa,Al Anbar
19,11,Sub-Saharan Africa,Bujumbura Mairie
20,11,Sub-Saharan Africa,Bujumbura Mairie
21,6,South Asia,Khulna
22,6,South Asia,Farah
23,6,South Asia,Khyber Pakhtunkhwa
24,5,Southeast Asia,Pattani
25,10,Middle East & North Africa,Asir
26,10,Middle East & North Africa,Tel Aviv
27,11,Sub-Saharan Africa,South Kordofan
28,11,Sub-Saharan Africa,Banaadir
29,6,South Asia,Bihar
30,6,South Asia,Bihar
31,6,South Asia,Assam
32,6,South Asia,Punjab
33,5,Southeast Asia,Surigao del Sur
34,10,Middle East & North Africa,Babil
35,10,Middle East & North Africa,Baghdad
36,10,Middle East & North Africa,Baghdad
37,10,Middle East & North Africa,Al Anbar
38,6,South Asia,Punjab
39,11,Sub-Saharan Africa,Banaadir
40,6,South Asia,Meghalaya
41,5,Southeast Asia,Maguindanao
42,10,Middle East & North Africa,Saladin
43,10,Middle East & North Africa,Nineveh
44,10,Middle East & North Africa,Al Anbar
45,10,Middle East & North Africa,Al Anbar
46,6,South Asia,Chhattisgarh
47,10,Middle East & North Africa,Taizz
48,10,Middle East & North Africa,Benghazi
49,11,Sub-Saharan Africa,South Kordofan
50,6,South Asia,Kunar
51,6,South Asia,Herat
52,6,South Asia,Helmand
53,10,Middle East & North Africa,Baghdad
54,6,South Asia,Khyber Pakhtunkhwa
55,8,Western Europe,Northern Ireland
56,1,North America,Oregon
57,10,Middle East & North Africa,Baghdad
58,10,Middle East & North Africa,Baghdad
59,10,Middle East & North Africa,Saladin
60,10,Middle East & North Africa,Saladin
61,10,Middle East & North Africa,Babil
62,10,Middle East & North Africa,Babil
63,10,Middle East & North Africa,Babil
64,6,South Asia,Balkh
65,6,South Asia,Khyber Pakhtunkhwa
66,6,South Asia,Balochistan
67,6,South Asia,Balochistan
68,11,Sub-Saharan Africa,Galguduud
69,10,Middle East & North Africa,Al Anbar
70,10,Middle East & North Africa,Al Anbar
71,10,Middle East & North Africa,Saladin
72,10,Middle East & North Africa,Al Anbar
73,10,Middle East & North Africa,Baghdad
74,10,Middle East & North Africa,Baghdad
75,10,Middle East & North Africa,Baghdad
76,10,Middle East & North Africa,Nineveh
77,10,Middle East & North Africa,Nineveh
78,10,Middle East & North Africa,West Bank
79,10,Middle East & North Africa,West Bank
80,10,Middle East & North Africa,West Bank
81,10,Middle East & North Africa,Diyarbakir
82,6,South Asia,Odisha
83,11,Sub-Saharan Africa,Nasarawa
84,11,Sub-Saharan Africa,Nasarawa
85,6,South Asia,Federally Administered Tribal Areas
86,6,South Asia,Bihar
87,6,South Asia,Western
88,10,Middle East & North Africa,Babil
89,10,Middle East & North Africa,Baghdad
90,10,Middle East & North Africa,Diyarbakir
91,6,South Asia,Helmand
92,5,Southeast Asia,Basilan
93,10,Middle East & North Africa,Adan
94,11,Sub-Saharan Africa,Galguduud
95,10,Middle East & North Africa,Sirnak
96,10,Middle East & North Africa,Baghdad
97,10,Middle East & North Africa,Baghdad
98,10,Middle East & North Africa,Baghdad
99,6,South Asia,Kabul
100,6,South Asia,Kabul
101,6,South Asia,Khyber Pakhtunkhwa
102,6,South Asia,Balochistan
103,10,Middle East & North Africa,Sirte
104,10,Middle East & North Africa,Sirte
105,6,South Asia,Samangan
106,6,South Asia,Helmand
107,11,Sub-Saharan Africa,Lower Shebelle
108,11,Sub-Saharan Africa,Bay
109,6,South Asia,Nangarhar
110,10,Middle East & North Africa,North Sinai
111,10,Middle East & North Africa,North Sinai
112,10,Middle East & North Africa,North Sinai
113,11,Sub-Saharan Africa,Bujumbura Mairie
114,11,Sub-Saharan Africa,Bujumbura Mairie
115,6,South Asia,Punjab
116,10,Middle East & North Africa,Marib
117,10,Middle East & North Africa,Jerusalem
118,10,Middle East & North Africa,Golan Heights
119,10,Middle East & North Africa,Diyarbakir
120,6,South Asia,Chhattisgarh
121,11,Sub-Saharan Africa,Borno
122,11,Sub-Saharan Africa,Borno
123,11,Sub-Saharan Africa,Banaadir
124,10,Middle East & North Africa,Eastern
125,10,Middle East & North Africa,Baghdad
126,6,South Asia,Meghalaya
127,10,Middle East & North Africa,Al Anbar
128,10,Middle East & North Africa,Babil
129,10,Middle East & North Africa,North Sinai
130,8,Western Europe,Hesse
131,11,Sub-Saharan Africa,Northern
132,10,Middle East & North Africa,Adan
133,6,South Asia,Federally Administered Tribal Areas
134,10,Middle East & North Africa,Hadramawt
135,6,South Asia,Eastern
136,10,Middle East & North Africa,Sirte
137,6,South Asia,Nangarhar
138,6,South Asia,Kandahar
139,6,South Asia,Kabul
140,10,Middle East & North Africa,Sirte
141,10,Middle East & North Africa,Baghdad
142,10,Middle East & North Africa,Baghdad
143,10,Middle East & North Africa,Saladin
144,10,Middle East & North Africa,Babil
145,10,Middle East & North Africa,Baghdad
146,10,Middle East & North Africa,Baghdad
147,10,Middle East & North Africa,Beni Suef
148,10,Middle East & North Africa,Adan
149,10,Middle East & North Africa,Al Anbar
150,10,Middle East & North Africa,Al Anbar
151,10,Middle East & North Africa,West Bank
152,6,South Asia,Andhra Pradesh
153,6,South Asia,Andhra Pradesh
154,6,South Asia,Badghis
155,11,Sub-Saharan Africa,Borno
156,6,South Asia,Logar
157,10,Middle East & North Africa,Eastern
158,6,South Asia,Tamil Nadu
159,6,South Asia,Tamil Nadu
160,6,South Asia,Tamil Nadu
161,10,Middle East & North Africa,Al Anbar
162,10,Middle East & North Africa,Diyala
163,10,Middle East & North Africa,Kirkuk
164,10,Middle East & North Africa,Kirkuk
165,10,Middle East & North Africa,Sirnak
166,6,South Asia,Jharkhand
167,6,South Asia,Chhattisgarh
168,11,Sub-Saharan Africa,Sofala
169,10,Middle East & North Africa,Homs
170,5,Southeast Asia,Compostela Valley
171,6,South Asia,Balochistan
172,10,Middle East & North Africa,Amanat Al Asimah
173,10,Middle East & North Africa,Sirnak
174,5,Southeast Asia,North Cotabato
175,6,South Asia,Central
176,10,Middle East & North Africa,Marib
177,6,South Asia,Khyber Pakhtunkhwa
178,11,Sub-Saharan Africa,Extreme-North
179,10,Middle East & North Africa,Aleppo
180,5,Southeast Asia,Narathiwat
181,6,South Asia,Federally Administered Tribal Areas
182,10,Middle East & North Africa,Damascus
183,10,Middle East & North Africa,Damascus
184,11,Sub-Saharan Africa,Gedo
185,10,Middle East & North Africa,Adan
186,10,Middle East & North Africa,Adan
187,10,Middle East & North Africa,Adan
188,10,Middle East & North Africa,Marib
189,10,Middle East & North Africa,Amanat Al Asimah
190,10,Middle East & North Africa,Baghdad
191,10,Middle East & North Africa,Taizz
192,10,Middle East & North Africa,Taizz
193,6,South Asia,Badakhshan
194,10,Middle East & North Africa,Baghdad
195,6,South Asia,Chhattisgarh
196,5,Southeast Asia,Samar
197,11,Sub-Saharan Africa,Extreme-North
198,11,Sub-Saharan Africa,Banaadir
199,6,South Asia,Kunar
200,6,South Asia,Paktia
201,10,Middle East & North Africa,Eastern
202,10,Middle East & North Africa,Raqqah
203,6,South Asia,Jammu and Kashmir
204,6,South Asia,Sindh
205,6,South Asia,Balochistan
206,10,Middle East & North Africa,Istanbul
207,6,South Asia,Kunduz
208,5,Southeast Asia,Narathiwat
209,10,Middle East & North Africa,Misrata
210,10,Middle East & North Africa,Derna
211,10,Middle East & North Africa,Giza
212,10,Middle East & North Africa,North Sinai
213,10,Middle East & North Africa,Sirte
214,11,Sub-Saharan Africa,Banaadir
215,11,Sub-Saharan Africa,Banaadir
216,11,Sub-Saharan Africa,North Darfur
217,10,Middle East & North Africa,Diyala
218,10,Middle East & North Africa,Baghdad
219,6,South Asia,Khulna
220,6,South Asia,Faryab
221,11,Sub-Saharan Africa,North Kivu
222,11,Sub-Saharan Africa,Bay
223,1,North America,Pennsylvania
224,8,Western Europe,Ile-de-France
225,10,Middle East & North Africa,Saladin
226,10,Middle East & North Africa,Baghdad
227,10,Middle East & North Africa,Baghdad
228,10,Middle East & North Africa,Baghdad
229,10,Middle East & North Africa,Nineveh
230,6,South Asia,Odisha
231,10,Middle East & North Africa,West Bank
232,10,Middle East & North Africa,West Bank
233,6,South Asia,Chhattisgarh
234,5,Southeast Asia,Camarines Sur
235,6,South Asia,Federally Administered Tribal Areas
236,6,South Asia,Manipur
237,10,Middle East & North Africa,Jazan
238,10,Middle East & North Africa,Jazan
239,10,Middle East & North Africa,Al Anbar
240,6,South Asia,Odisha
241,8,Western Europe,Umbria
242,10,Middle East & North Africa,Misrata
243,9,Eastern Europe,Donetsk
244,8,Western Europe,Northern Ireland
245,11,Sub-Saharan Africa,Timbuktu
246,6,South Asia,Balochistan
247,10,Middle East & North Africa,Red Sea
248,6,South Asia,Jawzjan
249,10,Middle East & North Africa,Jabal Al Gharbi
250,6,South Asia,Balochistan
251,11,Sub-Saharan Africa,Banaadir
252,6,South Asia,Nangarhar
253,10,Middle East & North Africa,Diyala
254,11,Sub-Saharan Africa,Togdheer
255,6,South Asia,Odisha
256,10,Middle East & North Africa,Beqaa
257,6,South Asia,Federally Administered Tribal Areas
258,5,Southeast Asia,Yala
259,6,South Asia,Herat
260,10,Middle East & North Africa,Benghazi
261,6,South Asia,Chhattisgarh
262,6,South Asia,Helmand
263,6,South Asia,Helmand
264,6,South Asia,Helmand
265,11,Sub-Saharan Africa,Extreme-North
266,11,Sub-Saharan Africa,Extreme-North
267,11,Sub-Saharan Africa,Plateau
268,6,South Asia,Khyber Pakhtunkhwa
269,6,South Asia,Meghalaya
270,6,South Asia,Balochistan
271,10,Middle East & North Africa,Giza
272,11,Sub-Saharan Africa,Middle Shebelle
273,6,South Asia,Balochistan
274,6,South Asia,Balochistan
275,10,Middle East & North Africa,Baghdad
276,10,Middle East & North Africa,Benghazi
277,11,Sub-Saharan Africa,Unknown
278,11,Sub-Saharan Africa,Unknown
279,10,Middle East & North Africa,Baghdad
280,10,Middle East & North Africa,Baghdad
