Event ID,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt
1,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
2,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
3,3,Police,23,Police Patrol (including vehicles and convoys)
4,3,Police,25,Police Security Forces/Officers
5,14,Private Citizens & Property,68,Named Civilian
6,1,Business,2,Restaurant/Bar/Café
7,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
8,3,Police,25,Police Security Forces/Officers
9,3,Police,22,"Police Building (headquarters, station, school)"
10,12,NGO,,
11,4,Military,29,Military Unit/Patrol/Convoy
12,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
13,4,Military,27,Military Barracks/Base/Headquarters/Checkpost
14,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
15,10,Journalists & Media,55,Television Journalist/Staff/Facility
16,4,Military,36,Military Checkpoint
17,4,Military,27,Military Barracks/Base/Headquarters/Checkpost
18,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
19,3,Police,25,Police Security Forces/Officers
20,3,Police,25,Police Security Forces/Officers
21,22,Violent Political Party,110,Party Office/Facility
22,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally
23,8,Educational Institution,48,Teacher/Professor/Instructor
24,1,Business,3,Bank/Commerce
25,14,Private Citizens & Property,75,Village/City/Town/Suburb
26,1,Business,2,Restaurant/Bar/Café
27,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
28,2,Government (General),18,"Government Personnel (excluding police, military)"
29,1,Business,12,Construction
30,1,Business,12,Construction
31,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified
32,3,Police,25,Police Security Forces/Officers
33,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally
34,4,Military,29,Military Unit/Patrol/Convoy
35,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
36,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
37,10,Journalists & Media,55,Television Journalist/Staff/Facility
38,4,Military,27,Military Barracks/Base/Headquarters/Checkpost
39,1,Business,2,Restaurant/Bar/Café
40,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified
41,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
42,20,Unknown,,
43,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified
44,4,Military,27,Military Barracks/Base/Headquarters/Checkpost
45,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
46,20,Unknown,,
47,14,Private Citizens & Property,75,Village/City/Town/Suburb
48,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
49,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)"
50,4,Military,27,Military Barracks/Base/Headquarters/Checkpost
51,20,Unknown,,
52,20,Unknown,,
53,7,Government (Diplomatic),46,Embassy/Consulate
54,19,Transportation,101,Bus Station/Stop
55,14,Private Citizens & Property,76,House/Apartment/Residence
56,2,Government (General),21,Government Building/Facility/Office
57,19,Transportation,99,Bus (excluding tourists)
