Event ID,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt
1,6,Explosives,16,Unknown Explosive Type,,
2,6,Explosives,16,Unknown Explosive Type,,
3,6,Explosives,16,Unknown Explosive Type,,
4,5,Firearms,2,Automatic or Semi-Automatic Rifle,9,Melee
5,9,Melee,23,Knife or Other Sharp Object,,
6,6,Explosives,15,Vehicle,,
7,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
8,6,Explosives,12,Remote Trigger,,
9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms
10,5,Firearms,3,Handgun,,
11,6,Explosives,16,Unknown Explosive Type,5,Firearms
12,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,
13,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
14,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
15,6,Explosives,14,Time Fuse,,
16,5,Firearms,5,Unknown Gun Type,,
17,6,Explosives,15,Vehicle,6,Explosives
18,6,Explosives,16,Unknown Explosive Type,,
19,6,Explosives,7,Grenade,5,Firearms
20,6,Explosives,7,Grenade,5,Firearms
21,8,Incendiary,18,Arson/Fire,,
22,5,Firearms,5,Unknown Gun Type,,
23,5,Firearms,5,Unknown Gun Type,,
24,6,Explosives,16,Unknown Explosive Type,,
25,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
26,5,Firearms,4,Rifle/Shotgun (non-automatic),,
27,5,Firearms,5,Unknown Gun Type,9,Melee
28,5,Firearms,5,Unknown Gun Type,,
29,6,Explosives,16,Unknown Explosive Type,,
30,6,Explosives,17,Other Explosive Type,,
31,13,Unknown,,,,
32,5,Firearms,5,Unknown Gun Type,,
33,5,Firearms,5,Unknown Gun Type,,
34,6,Explosives,16,Unknown Explosive Type,,
35,6,Explosives,16,Unknown Explosive Type,,
36,6,Explosives,16,Unknown Explosive Type,,
37,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
38,6,Explosives,13,Suicide (carried bodily by human being),6,Explosives
39,6,Explosives,13,Suicide (carried bodily by human being),,
40,5,Firearms,5,Unknown Gun Type,,
41,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
42,6,Explosives,16,Unknown Explosive Type,,
43,13,Unknown,,,,
44,6,Explosives,13,Suicide (carried bodily by human being),,
45,6,Explosives,17,Other Explosive Type,,
46,6,Explosives,16,Unknown Explosive Type,,
47,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
48,13,Unknown,,,,
49,13,Unknown,,,,
50,5,Firearms,5,Unknown Gun Type,,
51,6,Explosives,15,Vehicle,,
52,6,Explosives,15,Vehicle,,
53,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
54,6,Explosives,16,Unknown Explosive Type,,
55,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
56,5,Firearms,2,Automatic or Semi-Automatic Rifle,5,Firearms
57,6,Explosives,16,Unknown Explosive Type,,
58,6,Explosives,16,Unknown Explosive Type,,
59,6,Explosives,16,Unknown Explosive Type,,
60,6,Explosives,15,Vehicle,6,Explosives
61,6,Explosives,16,Unknown Explosive Type,,
62,6,Explosives,16,Unknown Explosive Type,,
63,6,Explosives,16,Unknown Explosive Type,,
64,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms
65,6,Explosives,28,Dynamite/TNT,,
66,6,Explosives,17,Other Explosive Type,,
67,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
68,5,Firearms,5,Unknown Gun Type,,
69,6,Explosives,13,Suicide (carried bodily by human being),13,Unknown
70,6,Explosives,15,Vehicle,13,Unknown
71,5,Firearms,5,Unknown Gun Type,,
72,5,Firearms,5,Unknown Gun Type,,
73,6,Explosives,16,Unknown Explosive Type,,
74,6,Explosives,16,Unknown Explosive Type,,
75,6,Explosives,29,Sticky Bomb,,
76,5,Firearms,5,Unknown Gun Type,,
77,5,Firearms,5,Unknown Gun Type,,
78,5,Firearms,4,Rifle/Shotgun (non-automatic),,
79,5,Firearms,4,Rifle/Shotgun (non-automatic),,
80,9,Melee,23,Knife or Other Sharp Object,,
81,6,Explosives,16,Unknown Explosive Type,,
82,8,Incendiary,18,Arson/Fire,,
83,5,Firearms,5,Unknown Gun Type,,
84,5,Firearms,5,Unknown Gun Type,,
85,6,Explosives,8,Landmine,,
86,13,Unknown,,,,
87,6,Explosives,16,Unknown Explosive Type,,
88,6,Explosives,16,Unknown Explosive Type,,
89,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
90,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
91,6,Explosives,16,Unknown Explosive Type,,
92,5,Firearms,5,Unknown Gun Type,,
93,13,Unknown,,,,
94,5,Firearms,5,Unknown Gun Type,,
95,5,Firearms,5,Unknown Gun Type,,
96,6,Explosives,16,Unknown Explosive Type,,
97,6,Explosives,16,Unknown Explosive Type,,
98,6,Explosives,16,Unknown Explosive Type,,
99,6,Explosives,15,Vehicle,,
100,6,Explosives,15,Vehicle,,
101,6,Explosives,7,Grenade,,
102,5,Firearms,5,Unknown Gun Type,,
103,6,Explosives,15,Vehicle,13,Unknown
104,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms
105,5,Firearms,3,Handgun,,
106,6,Explosives,16,Unknown Explosive Type,,
107,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
108,6,Explosives,16,Unknown Explosive Type,5,Firearms
109,5,Firearms,5,Unknown Gun Type,,
110,6,Explosives,16,Unknown Explosive Type,,
111,6,Explosives,16,Unknown Explosive Type,,
112,6,Explosives,16,Unknown Explosive Type,,
113,6,Explosives,16,Unknown Explosive Type,,
114,6,Explosives,16,Unknown Explosive Type,,
115,6,Explosives,12,Remote Trigger,,
116,6,Explosives,16,Unknown Explosive Type,,
117,9,Melee,23,Knife or Other Sharp Object,,
118,6,Explosives,16,Unknown Explosive Type,,
119,5,Firearms,4,Rifle/Shotgun (non-automatic),,
120,6,Explosives,17,Other Explosive Type,,
121,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms
122,8,Incendiary,18,Arson/Fire,13,Unknown
123,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
124,5,Firearms,5,Unknown Gun Type,,
125,6,Explosives,16,Unknown Explosive Type,,
126,5,Firearms,5,Unknown Gun Type,,
127,6,Explosives,15,Vehicle,6,Explosives
128,5,Firearms,5,Unknown Gun Type,,
129,6,Explosives,16,Unknown Explosive Type,,
130,5,Firearms,5,Unknown Gun Type,,
131,6,Explosives,15,Vehicle,,
132,5,Firearms,5,Unknown Gun Type,,
133,6,Explosives,16,Unknown Explosive Type,,
134,5,Firearms,5,Unknown Gun Type,12,Other
135,5,Firearms,5,Unknown Gun Type,,
136,13,Unknown,,,,
137,6,Explosives,16,Unknown Explosive Type,,
138,6,Explosives,16,Unknown Explosive Type,,
139,6,Explosives,29,Sticky Bomb,,
140,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
141,6,Explosives,15,Vehicle,,
142,6,Explosives,16,Unknown Explosive Type,,
143,6,Explosives,16,Unknown Explosive Type,,
144,6,Explosives,16,Unknown Explosive Type,,
145,6,Explosives,16,Unknown Explosive Type,,
146,6,Explosives,16,Unknown Explosive Type,,
147,5,Firearms,5,Unknown Gun Type,,
148,6,Explosives,15,Vehicle,6,Explosives
149,6,Explosives,15,Vehicle,,
150,6,Explosives,16,Unknown Explosive Type,,
151,9,Melee,23,Knife or Other Sharp Object,,
152,5,Firearms,5,Unknown Gun Type,8,Incendiary
153,13,Unknown,,,,
154,6,Explosives,16,Unknown Explosive Type,,
155,5,Firearms,5,Unknown Gun Type,8,Incendiary
156,6,Explosives,17,Other Explosive Type,,
157,8,Incendiary,18,Arson/Fire,,
158,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
159,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
160,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
161,6,Explosives,15,Vehicle,,
162,6,Explosives,16,Unknown Explosive Type,,
163,13,Unknown,,,,
164,13,Unknown,,,,
165,5,Firearms,5,Unknown Gun Type,,
166,5,Firearms,5,Unknown Gun Type,,
167,6,Explosives,31,Pipe Bomb,,
168,5,Firearms,5,Unknown Gun Type,,
169,5,Firearms,5,Unknown Gun Type,,
170,5,Firearms,5,Unknown Gun Type,,
171,5,Firearms,5,Unknown Gun Type,,
172,5,Firearms,3,Handgun,9,Melee
173,13,Unknown,,,,
174,5,Firearms,5,Unknown Gun Type,,
175,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
176,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
177,5,Firearms,5,Unknown Gun Type,,
178,13,Unknown,,,,
179,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",13,Unknown
180,6,Explosives,17,Other Explosive Type,5,Firearms
181,5,Firearms,5,Unknown Gun Type,,
182,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
183,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
184,5,Firearms,5,Unknown Gun Type,,
185,5,Firearms,5,Unknown Gun Type,,
186,5,Firearms,5,Unknown Gun Type,,
187,5,Firearms,5,Unknown Gun Type,,
188,13,Unknown,,,,
189,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
190,6,Explosives,16,Unknown Explosive Type,,
191,13,Unknown,,,,
192,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
193,6,Explosives,16,Unknown Explosive Type,,
194,5,Firearms,5,Unknown Gun Type,,
195,5,Firearms,5,Unknown Gun Type,,
196,6,Explosives,16,Unknown Explosive Type,,
197,13,Unknown,,,,
